league,league_id
ENG-Premier League,13
ESP-La Liga,53
ITA-Serie A,31
GER-Bundesliga,19
FRA-Ligue 1,16
USA-Major League Soccer,39
POR-Primeira Liga,308
SAU-Pro League,350
NED-Eredivisie,10
TUR-Süper Lig,68
